DATE,M2SL,GDPC1
1/1/1959,293.3,3412.42125
1/1/1960,304.2833333,3500.2725
1/1/1961,324.8333333,3590.06625
1/1/1962,350.1,3810.12325
1/1/1963,379.6083333,3976.14175
1/1/1964,409.3166667,4205.27725
1/1/1965,442.45,4478.55525
1/1/1966,471.375,4773.93125
1/1/1967,503.6416667,4904.86375
1/1/1968,545.3,5145.91425
1/1/1969,578.725,5306.5945
1/1/1970,601.4583333,5316.39125
1/1/1971,674.4,5491.4455
1/1/1972,758.1583333,5780.04825
1/1/1973,831.7583333,6106.3705
1/1/1974,880.5583333,6073.36275
1/1/1975,963.5,6060.87525
1/1/1976,1086.533333,6387.4365
1/1/1977,1221.191667,6682.8045
1/1/1978,1322.233333,7052.71125
1/1/1979,1425.666667,7275.99925
1/1/1980,1540.183333,7257.3165
1/1/1981,1679.291667,7441.485
1/1/1982,1830.925,7307.314
1/1/1983,2054.466667,7642.2655
1/1/1984,2218.958333,8195.29525
1/1/1985,2416.5,8537.00375
1/1/1986,2612.775,8832.61125
1/1/1987,2782.258333,9137.74475
1/1/1988,2931.116667,9519.42675
1/1/1989,3054.025,9869.00325
1/1/1990,3222.233333,10055.1285
1/1/1991,3342.1,10044.2375
1/1/1992,3404.566667,10398.04625
1/1/1993,3439.758333,10684.17875
1/1/1994,3483.35,11114.64625
1/1/1995,3555.583333,11413.01225
1/1/1996,3728.95,11843.599
1/1/1997,3925.725,12370.2995
1/1/1998,4206.533333,12924.87575
1/1/1999,4518.133333,13543.774
1/1/2000,4792.108333,14096.033
1/1/2001,5209.083333,14230.726
1/1/2002,5598.333333,14472.7115
1/1/2003,5988.283333,14877.3125
1/1/2004,6273.983333,15449.75725
1/1/2005,6541.241667,15987.9575
1/1/2006,6884.95,16433.1475
1/1/2007,7308.283333,16762.4455
1/1/2008,7804.391667,16781.48475
1/1/2009,8433.575,16349.1105
1/1/2010,8645.825,16789.7505
1/1/2011,9277.116667,17052.4105
1/1/2012,10065.2,17442.75925
1/1/2013,10740.875,17812.167
1/1/2014,11399.85833,18261.71425
1/1/2015,12055.9,18799.622
1/1/2016,12869.9,19141.67225
1/1/2017,13596.39167,19612.1025
1/1/2018,14115.275,20193.89525
1/1/2019,14836.96667,20715.6715
1/1/2020,17667.15833,20267.58475
1/1/2021,20517.74167,21494.79825
1/1/2022,21569.55,22034.82875
1/1/2023,20810.38333,22671.0965
